participant,country,result,notes,location,event_year
Raymond James Barbuti,USA,47.8,,Amsterdam,1928
James Ball,CAN,48.0,,Amsterdam,1928
Joachim Büchner,GER,48.2,,Amsterdam,1928
John William Joslin Rinkel,GBR,48.4,,Amsterdam,1928
Harry Storz,GER,48.8,,Amsterdam,1928
Hermon Edgar Phillips,USA,49.0,,Amsterdam,1928
Bevil Rudd,RSA,0:49.6,,Antwerp,1920
Guy Butler,GBR,0:49.9,,Antwerp,1920
Nils Engdahl,SWE,0:50.0,,Antwerp,1920
Frank Shea,USA,,,Antwerp,1920
John Ainsworth-Davis,GBR,,,Antwerp,1920
Harry Davel,RSA,,,Antwerp,1920
Achmed Abbas Sabri,EGY,,Qualified,Antwerp,1920
Anatole Bolin,SWE,,Qualified,Antwerp,1920
Clarence Oldfield,RSA,,Qualified,Antwerp,1920
Egide Simonazzi,ITA,,Qualified,Antwerp,1920
Einar Mangset,NOR,,Qualified,Antwerp,1920
Erik Sundblad,SWE,,Qualified,Antwerp,1920
Erkka Wilen,FIN,,Qualified,Antwerp,1920
Eugène Bayon,FRA,,Qualified,Antwerp,1920
Francis Irvine,RSA,,Qualified,Antwerp,1920
François Morren,BEL,,Qualified,Antwerp,1920
Gaston Féry,FRA,,Qualified,Antwerp,1920
George Schiller,USA,,Qualified,Antwerp,1920
Georges Andre,FRA,,Qualified,Antwerp,1920
Giovanni Tosi,ITA,,Qualified,Antwerp,1920
Giuseppe Bernardoni,ITA,,Qualified,Antwerp,1920
Hector Phillips,CAN,,Qualified,Antwerp,1920
Hedges Worthington-Eyre,GBR,,Qualified,Antwerp,1920
James Edwin Meredith,USA,,Qualified,Antwerp,1920
Jean Proess,LUX,,Qualified,Antwerp,1920
José García,ESP,,Qualified,Antwerp,1920
Jules F. Migeot,BEL,,Qualified,Antwerp,1920
Karel Frankenstein,TCH,,Qualified,Antwerp,1920
Karel Pribyl,TCH,,Qualified,Antwerp,1920
Maurice Delvart,FRA,,Qualified,Antwerp,1920
Miguel Garcia-Onsalo,ESP,,Qualified,Antwerp,1920
Omer Gustave Corteyn,BEL,,Qualified,Antwerp,1920
Reinhold Saulmann,EST,,Qualified,Antwerp,1920
Robert Lindsay,GBR,,Qualified,Antwerp,1920
Robert Simpson Emery,USA,,Qualified,Antwerp,1920
Sven Krokström,SWE,,Qualified,Antwerp,1920
Thomas Burke,USA,54.2,,Athens,1896
Herbert Jamison,USA,55.2,Time estimated,Athens,1896
Charles Gmelin,GBR,55.6,Time estimated,Athens,1896
Fritz Hofmann,GER,55.6,,Athens,1896
Alphonse Grisel,FRA,,Qualified,Athens,1896
Derrick Brew,USA,45.05,Qualified,Athens,2004
Davian Clarke,JAM,45.27,Qualified,Athens,2004
Chris Brown,BAH,45.31,,Athens,2004
Yeimer Lopez,CUB,45.52,,Athens,2004
Alejandro Cardenas,MEX,45.64,,Athens,2004
K Mathews Binu,IND,45.97,,Athens,2004
Matija ?Estak,SLO,46.54,,Athens,2004
Roger Black,GBR,45.28,,Atlanta,1996
Neil De Silva,TTO,45.34,,Atlanta,1996
Stefan Balosak,SVK,45.86,,Atlanta,1996
Jude Monye,NGR,46.1,,Atlanta,1996
Michael Joubert,AUS,46.3,,Atlanta,1996
Kossi Akoto,TOG,46.94,National Record,Atlanta,1996
Mustafa Abdelnaser,LBA,50.12,,Atlanta,1996
Amar Hecini,ALG,47.34,,Atlanta,1996
Quincy Watts,USA,43.5,Olympic record,Barcelona,1992
Steve Lewis,USA,44.21,,Barcelona,1992
Samson Kitur,KEN,44.24,,Barcelona,1992
Ian Morris,TTO,44.25,,Barcelona,1992
Roberto Hernández,CUB,44.52,,Barcelona,1992
David Grindley,GBR,44.75,,Barcelona,1992
Ibrahim Ismail S Faraj,QAT,45.1,,Barcelona,1992
Susumu Takano,JPN,45.18,,Barcelona,1992
Lashawn Merritt,USA,43.75,,Beijing,2008
Jeremy Wariner,USA,44.74,,Beijing,2008
David Neville,USA,44.8,,Beijing,2008
Chris Brown,BAH,44.84,,Beijing,2008
Leslie Djhone,FRA,45.11,,Beijing,2008
Martyn Rooney,GBR,45.12,,Beijing,2008
Renny Quow,TTO,45.22,,Beijing,2008
Johan Wissman,SWE,45.39,,Beijing,2008
Archibald Franklin Williams,USA,46.5,,Berlin,1936
Godfrey Brown,GBR,46.7,,Berlin,1936
James Ellis Lu Valle,USA,46.8,,Berlin,1936
William Roberts,GBR,46.8,,Berlin,1936
William Fritz,CAN,47.8,,Berlin,1936
John Loaring,CAN,48.2,,Berlin,1936
George Rhoden,JAM,45.9,Olympic record,Helsinki,1952
Herbert Mckenley,JAM,45.9,Olympic record,Helsinki,1952
Ollie Matson,USA,46.8,,Helsinki,1952
Karl-Friedrich Haas,EUA,47.0,,Helsinki,1952
Arthur Wint,JAM,47.0,,Helsinki,1952
Mal Whitfield,USA,47.1,,Helsinki,1952
John Cox Atlee,USA,50.4,,London,1908
Alan Patterson,GBR,,,London,1908
Giuseppe Tarella,ITA,,,London,1908
Arthur Wint,JAM,46.2,EQUALS OLYMPIC RECORD,London,1948
Herbert Mckenley,JAM,46.4,,London,1948
Mal Whitfield,USA,46.9,,London,1948
David Benjamin Bolen,USA,47.2,,London,1948
Morris Joseph Curotta,AUS,47.9,,London,1948
George James Guida,USA,50.2,,London,1948
Donald Cecil Mcfarlane,CAN,,Qualified,London,1948
Kirani James,GRN,43.94,,London,2012
Luguelin Santos,DOM,44.46,,London,2012
Lalonde Gordon,TTO,44.52,,London,2012
Chris Brown,BAH,44.79,,London,2012
Kevin Borlee,BEL,44.81,,London,2012
Jonathan Borlee,BEL,44.83,,London,2012
Demetrius Pinder,BAH,44.98,,London,2012
Steven Solomon,AUS,45.14,,London,2012
William Arthur Carr,USA,46.2,Olympic and World Record,Los Angeles,1932
Benjamin Bangs Eastman,USA,46.4,,Los Angeles,1932
Alex Wilson,CAN,47.4,,Los Angeles,1932
William Walters,RSA,48.2,,Los Angeles,1932
James Allen Gordon,USA,48.2,,Los Angeles,1932
George Golding,AUS,48.8,,Los Angeles,1932
Alonzo Babers,USA,44.27,,Los Angeles,1984
Gabriel Tiacoh,CIV,44.54,,Los Angeles,1984
Antonio Mckay,USA,44.71,,Los Angeles,1984
Darren Clark,AUS,44.75,,Los Angeles,1984
Sunder Nix,USA,44.75,,Los Angeles,1984
Sunday Uti,NGR,44.93,,Los Angeles,1984
Innocent Egbunike,NGR,45.35,,Los Angeles,1984
Bertland Cameron,JAM,,Did not start,Los Angeles,1984
Charles Jenkins,USA,46.7,,Melbourne-Stockholm,1956
Karl-Friedrich Haas,EUA,46.8,,Melbourne-Stockholm,1956
Ardalion Ignatyev,URS,47.0,,Melbourne-Stockholm,1956
Voitto Hellsten,FIN,47.0,,Melbourne-Stockholm,1956
Lou Jones,USA,48.1,,Melbourne-Stockholm,1956
Malcolm Spence,RSA,48.3,,Melbourne-Stockholm,1956
Lee Evans,USA,43.8,Olympic and World Record,Mexico,1968
Larry James,USA,43.9,Olympic and World Record,Mexico,1968
Ron Freeman,USA,44.4,Olympic and World Record,Mexico,1968
Amadou Gakou,SEN,45.0,,Mexico,1968
Martin Jellinghaus,FRG,45.3,,Mexico,1968
Tegegne Bezabeh,ETH,45.4,,Mexico,1968
Andrzej Badenski,POL,45.4,,Mexico,1968
Amos Omolo,UGA,47.6,,Mexico,1968
Alberto Juantorena,CUB,44.26,,Montreal,1976
Frederick Vaughn Newhouse,USA,44.4,,Montreal,1976
Herman Ronald Frazier,USA,44.95,,Montreal,1976
Alfons Brijdenbach,BEL,45.04,,Montreal,1976
Maxwell Lander Parks,USA,45.24,,Montreal,1976
Rick Mitchell,AUS,45.4,,Montreal,1976
David Andrew Jenkins,GBR,45.57,,Montreal,1976
Jan Werner,POL,45.63,,Montreal,1976
Viktor Markin,URS,44.6,,Moscow,1980
Rick Mitchell,AUS,44.84,,Moscow,1980
Frank Schaffer,GDR,44.87,,Moscow,1980
Alberto Juantorena,CUB,45.09,,Moscow,1980
Alfons Brijdenbach,BEL,45.1,,Moscow,1980
Michael Solomon,TTO,45.55,,Moscow,1980
David Andrew Jenkins,GBR,45.56,,Moscow,1980
Joseph Coombs,TTO,46.33,,Moscow,1980
Vince Matthews,USA,44.66,,Munich,1972
Wayne Collett,USA,44.8,,Munich,1972
Julius Sang,KEN,44.92,,Munich,1972
Charles Asati,KEN,45.13,,Munich,1972
Horst-Rüdiger Schlöske,FRG,45.31,,Munich,1972
Markku Juhani Kukkoaho,FIN,45.49,,Munich,1972
Karl Honz,FRG,45.68,,Munich,1972
John Smith,USA,,Did not finish,Munich,1972
Maxwell Warburn Long,USA,49.4,,Paris,1900
William Holland,USA,49.6,,Paris,1900
Ernst Schultz,DEN,,Time estimated,Paris,1900
Dixon Boardman,USA,,Did not start,Paris,1900
Harry Glover Lee,USA,,Did not start,Paris,1900
William Moloney,USA,,Did not start,Paris,1900
Eric Liddell,GBR,47.6,,Paris,1924
Horatio Fitch,USA,48.4,,Paris,1924
Guy Butler,GBR,48.6,,Paris,1924
David Johnson,CAN,48.8,,Paris,1924
John-Coard Taylor,USA,,,Paris,1924
Josef Imbach,SUI,,FALL,Paris,1924
Wayde Van Niekerk,RSA,43.03,,Rio,2016
Kirani James,GRN,43.76,,Rio,2016
Lashawn Merritt,USA,43.85,,Rio,2016
Machel Cedenio,TTO,44.01,,Rio,2016
Karabo Sibanda,BOT,44.25,,Rio,2016
Ali Khamis Khamis,BRN,44.36,,Rio,2016
Bralon Taplin,GRN,44.45,,Rio,2016
Matthew Hudson-Smith,GBR,44.61,,Rio,2016
Otis Davis,USA,44.9,Olympic and World Record,Rome,1960
Carl Kaufmann,EUA,44.9,Olympic and World Record,Rome,1960
Malcolm Spence,RSA,45.5,,Rome,1960
Milkha Singh,IND,45.6,,Rome,1960
Manfred Kinder,EUA,45.9,,Rome,1960
Earl Young,USA,45.9,,Rome,1960
Steve Lewis,USA,43.87,,Seoul,1988
Harry Butch . Reynolds,USA,43.93,,Seoul,1988
Danny Everett,USA,44.09,,Seoul,1988
Darren Clark,AUS,44.55,,Seoul,1988
Innocent Egbunike,NGR,44.72,,Seoul,1988
Bertland Cameron,JAM,44.94,,Seoul,1988
Ian Morris,TTO,44.95,,Seoul,1988
Mohammed Amer Al-Malky,OMA,45.03,,Seoul,1988
Derek Redmond,GBR,,,Seoul,1988
Luis Neto,ANG,,,Seoul,1988
Ousmane Diarra,SEN,,,Seoul,1988
Porfirio Mendez,PAR,,,Seoul,1988
William Taramai,COK,,,Seoul,1988
Harry Hillman,USA,49.2,Olympic record,St Louis,1904
Frank Waller,USA,49.9,,St Louis,1904
Herman Groman,USA,50.0,,St Louis,1904
Joseph Fleming,USA,,,St Louis,1904
Meyer Prinstein,USA,,,St Louis,1904
George Poage,USA,,,St Louis,1904
Clyde Amel Blair,USA,,Qualified,St Louis,1904
George Underwood,USA,,Qualified,St Louis,1904
Howard Valentine,USA,,Qualified,St Louis,1904
Johannes Runge,GER,,Qualified,St Louis,1904
Paul Pilgrim,USA,,Qualified,St Louis,1904
Percival Molson,CAN,,,St Louis,1904
Charles Reidpath,USA,0:48.2,Olympic record,Stockholm,1912
Hanns Braun,GER,0:48.3,,Stockholm,1912
Edward Lindberg,USA,0:48.4,,Stockholm,1912
James Edwin Meredith,USA,0:49.2,No ranking,Stockholm,1912
Carroll Barse Haff,USA,0:49.5,No ranking,Stockholm,1912
Michael Johnson,USA,43.84,,Sydney,2000
Alvin Harrison,USA,44.40,,Sydney,2000
Greg Haughton,JAM,44.70,,Sydney,2000
Sanderlei Parrela,BRA,45.01,,Sydney,2000
Robert Mackowiak,POL,45.14,,Sydney,2000
Hendrick Mokganyetsi,RSA,45.26,,Sydney,2000
Danny Mcfarlane,JAM,45.55,,Sydney,2000
Antonio Pettigrew,USA,45.42 / DPG,Disqualified for doping,Sydney,2000
Mike Larrabee,USA,45.1,,Tokyo,1964
Wendell Mottley,TTO,45.2,,Tokyo,1964
Andrzej Badenski,POL,45.6,,Tokyo,1964
Robbie Brightwell,GBR,45.7,,Tokyo,1964
Ulis Williams,USA,46.0,,Tokyo,1964
Tim Graham,GBR,46.0,,Tokyo,1964
Peter Vassella,AUS,46.3,,Tokyo,1964
Edwin Skinner,TTO,46.8,,Tokyo,1964
